Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,Matches,fbref_id
Warren Zaïre-Emery,fr FRA,DFMF,19,32,27,2447,27.2,3,4,7,3,0,0,3,0,0.11,0.15,0.26,0.11,0.26,Matches,6b9960cf
Illia Zabarnyi,ua UKR,DF,22,28,26,2387,26.5,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches,88968486
Vitinha,pt POR,MF,25,29,24,2119,23.5,1,7,8,1,0,0,2,0,0.04,0.30,0.34,0.04,0.34,Matches,3b029691
Willian Pacho,ec ECU,DF,23,23,21,1914,21.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ecbe2839
Bradley Barcola,fr FRA,FW,22,29,21,1743,19.4,11,1,12,11,0,0,2,0,0.57,0.05,0.62,0.57,0.62,Matches,a0d55a09
Senny Mayulu,fr FRA,MFFW,19,26,21,1672,18.6,4,4,8,4,0,0,3,0,0.22,0.22,0.43,0.22,0.43,Matches,bac89b96
Lucas Hernández,fr FRA,DF,29,25,20,1747,19.4,0,3,3,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,Matches,c3ee18ef
Lucas Beraldo,br BRA,DFMF,21,20,18,1567,17.4,2,1,3,2,0,0,2,0,0.11,0.06,0.17,0.11,0.17,Matches,b8aedf06
Lee Kang-in,kr KOR,MFFW,24,27,18,1519,16.9,3,4,7,3,0,0,3,0,0.18,0.24,0.41,0.18,0.41,Matches,8455ad90
Khvicha Kvaratskhelia,ge GEO,FW,24,28,18,1479,16.4,8,4,12,7,1,1,1,0,0.49,0.24,0.73,0.43,0.67,Matches,dea88efd
Lucas Chevalier,fr FRA,GK,23,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b3d76d84
Désiré Doué,fr FRA,FWMF,20,23,16,1348,15.0,7,4,11,7,0,1,0,0,0.47,0.27,0.73,0.47,0.73,Matches,9e7483ff
Achraf Hakimi,ma MAR,DF,26,18,15,1375,15.3,2,2,4,2,0,0,3,1,0.13,0.13,0.26,0.13,0.26,Matches,e42d61c7
Matvei Safonov,ru RUS,GK,26,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d97b252e
Gonçalo Ramos,pt POR,FW,24,30,13,1318,14.6,6,1,7,5,1,2,4,1,0.41,0.07,0.48,0.34,0.41,Matches,f63cda26
João Neves,pt POR,MF,20,21,13,1287,14.3,5,1,6,5,0,0,0,0,0.35,0.07,0.42,0.35,0.42,Matches,c2a15a27
Nuno Mendes,pt POR,DF,23,20,13,1256,14.0,4,5,9,3,1,1,1,0,0.29,0.36,0.64,0.21,0.57,Matches,f20e4cc9
Fabián Ruiz Peña,es ESP,MF,29,20,13,1131,12.6,1,4,5,1,0,0,2,0,0.08,0.32,0.40,0.08,0.40,Matches,c0c7ff58
Ousmane Dembélé,fr FRA,FW,28,22,11,1063,11.8,10,7,17,8,2,3,0,0,0.85,0.59,1.44,0.68,1.27,Matches,b19db005
Marquinhos,br BRA,DF,31,14,11,1052,11.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d5f2f82b
Ibrahim Mbaye,sn SEN,FWMF,17,24,10,1006,11.2,3,2,5,3,0,0,0,0,0.27,0.18,0.45,0.27,0.45,Matches,201b4ee4
Dro Fernández,es ESP,MF,17,12,7,682,7.6,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches,5eeaca99
Quentin Ndjantou,fr FRA,MF,18,10,3,360,4.0,1,1,2,1,0,0,1,0,0.25,0.25,0.50,0.25,0.50,Matches,57e30346
Renato Marin,it ITA,GK,19,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6db4e0b4
Dimitri Lucea,fr FRA,DF,18,2,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,932bbc6a
Pierre Mounguengue,fr FRA,FW,17,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d1aa6670
Mathis Jangeal,fr FRA,FW,17,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34eda45e
Noah Nsoki,fr FRA,MF,18,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ec5920e
Squad Total,,,23.6,34,374,3060,34.0,73,55,128,68,5,8,37,2,2.15,1.62,3.76,2.00,3.62,,SQUAD
Opponent Total,,,25.8,34,374,3060,34.0,28,20,48,27,1,4,47,4,0.82,0.59,1.41,0.79,1.38,,OPP
